Tweets,User,User_location,fav_count,rt_count,tweet_date
Weddings are now Moved from “Posh venues to Private Terraces” So we @AnnesStudios bring everything for ur D day to… https://t.co/SwB41pVQVJ,Annes Studios,Bangalore,0,0,2020-06-05 20:39:39
"This is serious and need CBI enquiry. This is criminal

#COVID19India #COVID19 https://t.co/T686h2QIpA",Ravi,"Copenhagen, Denmark",0,0,2020-06-05 20:39:32
"RT @ShamikaRavi: #DailyUpdate #COVID19India 
Unlike other countries, India witnessing significant fluctuations in growth rate of ACTIVE cas…",Shawreen shah,mumbai,0,287,2020-06-05 20:37:45
RT @Bh_Chandra: India is too poor to afford #coal as a primary source of energy in the near future … and that is aside from #environmental…,Multiple Split Personality,At Heaven Of India  ..,0,21,2020-06-05 20:33:03
"There are shortage of doctors, nurse's and wardboys here in #Mumbai. What are @CMOMaharashtra @OfficeofUT  and our… https://t.co/YTXWH1hAOU",Ganesh,india,0,0,2020-06-05 20:32:49
"RT @anujtiwari11: Worked in isolation ward, unfortunately contracted the virus. Recovered from COVID and now back again at work! From a com…",Rochelle Menezes,"Toronto, Canada",0,4,2020-06-05 20:32:19
"Soon it will be mandatory for parents to buy mask for their children's from school 🏫 only 😭😭😅
#SchoolFees #dps… https://t.co/e0Eb5UW38W",2020,nagpur,0,0,2020-06-05 20:32:00
"RT @project_umeed: This is possible because of your support &amp; our on-ground volunteers. Even as the lockdown is eased, with a rising number…",Purvi Kathuria,,0,6,2020-06-05 20:31:54
"All these armchair thinkers should at least make up their minds what they wanted from the government, lockdown or o… https://t.co/NeF97jGkYV",Doctor.Geek,,0,0,2020-06-05 20:28:46
The lockdown didn't do anything to #FlattenTheCurve . This shows the level of efficiency in lockdown enforcement by… https://t.co/LeckqbUVsb,Ashutosh Mehrotra,"Patna, Bihar",0,0,2020-06-05 20:26:47
"RT @sivakpandian: (@UKTamilmakkal): https://t.co/NSaWg42DQ1
Dear @CMOTamilNadu sir, so many requests comes from outside of India living Tam…",Eurasian Cinemas,"Chennai, India",0,1,2020-06-05 20:26:40
"RT @shekhar_mande: The 1st phytopharmaceutical to get into clinical trials against #COVID19India, we @CSIR_IND are proud to be with @SunPha…",Dhiman Kalita,,0,53,2020-06-05 20:25:34
"(@UKTamilmakkal): https://t.co/NSaWg42DQ1
Dear @CMOTamilNadu sir, so many requests comes from outside of India livi… https://t.co/HjDY9TCeIe",Dr.Sivakumar MD(Russia),"Chennai, India",0,1,2020-06-05 20:23:30
"RT @RshamPal: #COVID19India
With Record death of 286 in a single day India now ranks 6th.
As I previously told you that by Friday we overta…",Voleti,,0,4,2020-06-05 20:23:06
"RT @sunilkapoor8: Hello @ArvindKejriwal ji since Dr.LalpathLab, Sterling nd other pvt.Labs stopped test for #COVID19India there is a confus…",Pulakesh,"College Station,TX",0,10,2020-06-05 20:21:13
"RT @thetribunechd: #Chandigarh: Sector 30-B taken off #ContainmentZone list  | Video By Manoj Mahajan | #COVID19India

Read story here:http…",Sleep to snore,,0,2,2020-06-05 20:20:48
"RT @ShamikaRavi: #DailyUpdate #COVID19India 
Unlike other countries, India witnessing significant fluctuations in growth rate of ACTIVE cas…",Eatanapple,India,0,287,2020-06-05 20:19:11
"RT @udbhav02: The medical system of Delhi has collapsed completely and this tweet is the proof of it. 

@ArvindKejriwal &amp; his ego are solel…",Ankit Makkar,,0,21,2020-06-05 20:18:04
"RT @ShamikaRavi: #DailyUpdate #COVID19India 
Unlike other countries, India witnessing significant fluctuations in growth rate of ACTIVE cas…",मुक्तिबोध्यम,,0,287,2020-06-05 20:15:36
"Online Classes 😥
#MedTwitter 
#COVID19India 
#MedicalStudents https://t.co/eR5oJZJJuR",Harshit,India,1,0,2020-06-05 20:12:53
"RT @RshamPal: #COVID19India
With Record death of 286 in a single day India now ranks 6th.
As I previously told you that by Friday we overta…",अम्मार अख़्तर “आत्मनिर्भर”,Kanpur ,0,4,2020-06-05 20:12:47
RT @sociometrik_org: We track emission data trends as No2 levels plummets across most urban centers in India post March 24th as captured by…,Kunal Raj Bharadwaj,,0,1,2020-06-05 20:12:04
"#Govt fighting #COVID19 in #Lockdown 5.0 

#COVID19India
#lockdownindia
#LockdownWithoutPlan https://t.co/jBpqsh3RIp",Saif Thakur,"Srinagar, Jammu And Kashmir",2,0,2020-06-05 20:11:33
"RT @RshamPal: #COVID19India
With Record death of 286 in a single day India now ranks 6th.
As I previously told you that by Friday we overta…",गिरा हुआ आत्मनिर्भर,Somewhere in Sea.,0,4,2020-06-05 20:09:43
"RT @StatsAnimated: #COVIDー19 animated chart, updated June 5th
Source: #WHO

#COVID_19 #Covid19UK #COVID19India #COVID19italia #covid19brazi…",M*🖤#FBPEGlobal #ForeverEuropean #BlackLivesMatter,"London as yet UK, Europe",0,3,2020-06-05 20:07:27
"RT @jijesh_rj: #COVID19India awareness with Thalaivar Rajinikanth 2.0 Chitti Cartoon in kerala 😍 

Firing , Fighting the Corona with multip…",😍தமிழ்🤘3.O🤩,,0,14,2020-06-05 20:06:28
2 mistakes of congress &amp; India is paying for it. #ModiMadeDisaster #AmitShah @INCIndia . Only if due judicial proce… https://t.co/CcjZAGylwD,Dr.Pinkey yadav #StayAtHomeSaveLives,India,0,0,2020-06-05 20:05:52
"RT @prthathi: A month ago, if someone tested #covid positive, we'd all ask beemar kaise hua??

Aaj when someone tests positive, my first qu…",Aditya Thakkar,,0,7,2020-06-05 20:04:17
This is enough to explain the depth of the mess! #COVID19India https://t.co/lGHA4XyFHr,Ashish Barua #MMT 📈📊,Planet Earth,1,0,2020-06-05 20:02:26
We r twins #brother #induamraka.... #Perfect #clone.. 1893=2020... 🙏🙏🙏🙏 #FailedLockdown #COVID19India #murder… https://t.co/wD6BMWDCuT,JAJABAR,"SALTLAKE, WB, Kolkata, India,",0,0,2020-06-05 20:01:47
"RT @ShamikaRavi: #DailyUpdate #COVID19India 
Unlike other countries, India witnessing significant fluctuations in growth rate of ACTIVE cas…",Blessed Gal,,0,287,2020-06-05 19:59:23
"Grand salute to all frontline warriors of #Assam. Only because of you, People of #Assam feel safe today. In this pi… https://t.co/VB0oswpC8j",Zarin A. Choudhury,jubail ,0,0,2020-06-05 19:57:20
"RT @DilliDurAst: We have been gaslit into believing testing rates don't matter. As the tragedy unfold before our eyes, outr cardinal sin wa…",Faisal Mirza,"Bhopal, India",0,88,2020-06-05 19:55:27
"Relaxing lockdown before peak.
Brace yourself the Virus.
#Covid_19 #COVID19India #Covid_19india #IndiaFightsCOVID19… https://t.co/E3kfQidgAr",SHAHADAD PN,Mecca,0,0,2020-06-05 19:54:10
"RT @project_umeed: This is possible because of your support &amp; our on-ground volunteers. Even as the lockdown is eased, with a rising number…",Harshit Jhalani,"Jaipur, India",0,6,2020-06-05 19:52:27
"@kunalpurohit sad 2 hear your loss. Reading your thread shows the shocking times
The threat of #COVID19India is rea… https://t.co/KMYjstuXTk",Manasvi Thapar मनस्वी थापर 🇮🇳,India,0,0,2020-06-05 19:51:06
"RT @shekhar_mande: The 1st phytopharmaceutical to get into clinical trials against #COVID19India, we @CSIR_IND are proud to be with @SunPha…",Abhijit Debnath,India,0,53,2020-06-05 19:51:03
