Tweets,User,User_location,fav_count,rt_count,tweet_date
"#FailedLockdown
Definitely lockdown is failled. More other state labours are died. Economic status are down. Do not… https://t.co/vYSSBb4Pzy",Mohamed sadam hussain,india,0,0,2020-06-05 19:27:24
"@YangerLongkume2 #FailedLockdown
Failed Modi government.",Tabish,"Jaipur, India",0,0,2020-06-05 19:25:35
@RahulGandhi #FailedLockdown and country is suffering due to BJP morons.,Tabish,"Jaipur, India",0,0,2020-06-05 19:24:55
"April 2020: we all were praying for Italy.

June 2020: India has more Covid19 cases than Italy.

It's time for ever… https://t.co/mdO7TVyw1L",sagar_speakss,"Bengaluru South, India",0,0,2020-06-05 19:22:58
"India is moving fast to secure No. 1 spot in global Covid chart. 

Good job Mr. PM. 

#IndiaFightsCorona #BengalFightsCorona #FailedLockdown",Purnendu Chakraborty,,0,0,2020-06-05 19:20:58
"#FailedLockdown
Jab 500 case the tab 12th mp board ki exam postponed kardi aur ab 2.3 lakh case hai tab exam le rah… https://t.co/DlK2X4rMIY",Shivendra Yadav,,0,0,2020-06-05 19:20:51
@DrNupurINC India witnessing #FailedLockdown after #Faileddemonetisation..,Ankit Sharma,"Rajasthan, India",1,0,2020-06-05 19:20:50
@DrArchanaINC India witnessing #FailedLockdown after #Faileddemonetisation..,Ankit Sharma,"Rajasthan, India",0,0,2020-06-05 19:19:24
Indias #FailedLockdown summarised in one pic https://t.co/0MYfzhITRr,Vinay Kumar Dokania🇮🇳 | विनय कुमार डोकानिया,"कोलकाता, भारत",2,2,2020-06-05 19:19:02
@RahulGandhi Failed lockdown as well as failed government. #FailedLockdown,Roshan,"Lakshadweep, India",0,0,2020-06-05 19:16:36
"Govt’s COVID-19 policies driven by ‘babus’ not epidemiologists: AIIMS doctor

Now I understand why so many loophole… https://t.co/BmkmGXwcFc",Simmi Ahuja,,18,4,2020-06-05 19:15:52
"Mediocrity is a trouble but idiocrity is a disaster. 

Ample evidence in covid crisis. 

#IndiaFightsCorona… https://t.co/31WC54owpG",Purnendu Chakraborty,,0,0,2020-06-05 19:13:21
India is the only country in the world where Covid19 cases increased rapidly AFTER lockdown was imposed and kept on… https://t.co/xchfDEVguz,debojyoti Sengupta,West Bengal,3,0,2020-06-05 19:13:04
People of India did as you said : #DiyaJalao #ThaliBajao #TaliBajao #PhoolBarsao #GoCoronaGo #9minute9Baje… https://t.co/PZreUOb3I1,Bankim Paul,"Kalpakkam,TN,India",0,0,2020-06-05 19:12:59
#FailedLockdown really it was.,Ruplekha,"Kolkata, India",0,0,2020-06-05 19:12:09
India is silently adopting Swedish model by allowing the pandemic to happen. But that is bound to spill disaster du… https://t.co/DV9b7kUJ9V,Purnendu Chakraborty,,0,0,2020-06-05 19:11:43
"April 2020: we all were praying for Italy.

June 2020: India has more Covid19 cases than Italy.

It's time for ever… https://t.co/ToW7bmfYzX",Bharat Rao,,0,1,2020-06-05 19:11:11
