Tweets,User,User_location,fav_count,rt_count,tweet_date
RT @ChennaiHotelAs1: Respected @PMOIndia @narendramodi @nsitharamanoffc @AmitShah @nitin_gadkari @OfficeOfNG no any banks providing loan @H…,Muthukumar,,0,3,2020-06-05 17:01:36
"RT @NewsCrat: Unlock 1.0 starts from today. What all will change? 👇

Full Coverage: https://t.co/GGkoHtmj5m

#Unlock1 #CratNews #NewsRoom #…",Aatish Patel,Delhi,0,1,2020-06-05 17:01:30
RT @ChennaiHotelAs1: Respected @PMOIndia @narendramodi @nsitharamanoffc @AmitShah @nitin_gadkari @OfficeOfNG no any banks providing loan @H…,Anand Krishnan,Chennai ,0,3,2020-06-05 15:58:19
Respected @PMOIndia @narendramodi @nsitharamanoffc @AmitShah @nitin_gadkari @OfficeOfNG no any banks providing loan… https://t.co/nepoK5Iy4G,Chennai Hotel Association,,5,3,2020-06-05 15:57:06
"RT @IAmManeshK: Pause before you react

Pause before you assume

Pause before you regret

#BREAK_THE_SILENCE 
#lockdown 
#UnlockIndia https…",नकली ट्रम्प 😎,India,0,16,2020-06-05 14:11:47
@RahulGandhi India started the lockdown at the right moment but failed to flatten the curve and now the government… https://t.co/7XfRag2cOW,Danish Pandey,,0,0,2020-06-05 13:05:39
#Unlockindia I feel govt. should opt to reward the person who clicks and send video /pictures of any1 who doesn’t f… https://t.co/x9S39SWsN6,Luvkesh Jain,"Mumbai, India",0,0,2020-06-05 12:56:00
".@FinMinIndia has barred all ministries &amp; depts from proposing news schemes in FY21, to cope with spending needs du… https://t.co/ep3UTrNumi",ET NOW,India,3,1,2020-06-05 10:58:14
"RT @IAmManeshK: Pause before you react

Pause before you assume

Pause before you regret

#BREAK_THE_SILENCE 
#lockdown 
#UnlockIndia https…",Snehal Anant,India 🇮🇳,0,16,2020-06-05 10:46:59
RT @ETNOWlive: #SupremeCourtofIndia heard a plea seeking to make the #coronavirus treatment free of cost. Here's ET NOW's @abhhimanyus with…,Abhimanyu Sharma,,0,2,2020-06-05 10:45:34
#SupremeCourtofIndia heard a plea seeking to make the #coronavirus treatment free of cost. Here's ET NOW's… https://t.co/mMEGfy33LF,ET NOW,India,2,2,2020-06-05 10:45:01
"RT @vishalgondal: Breaking free, or not, is usually determined by whether you want to get Somewhere Slowly or 
Nowhere Fast

Break Free fro…",Dantus19,"नई दिल्ली, भारत",0,1,2020-06-05 09:53:43
RT @weloveberi: #LockdownExtended #Lockdownextention #lockdown2020 #Unlock1 #unlockone #unlock1Point0 #unlockingindia #Unlock #unlockindia…,Sudarshan verma,,0,1,2020-06-05 09:35:16
"RT @Rene_Van_Berkel: Pleasure to discuss #roadmap for #manufacturing firms, incl. #MSMEs, to restart, recover &amp; revitalize business in #unl…",ET Edge,India,0,2,2020-06-05 08:57:48
"After a period of almost two months of #lockdown, religious places are to open from #Monday, #June 8.

#UnlockIndia

https://t.co/K5iOBB6VCQ",The Logical Indian,India,6,0,2020-06-05 08:22:07
"#unlockindia #covid19 

Bombay is awaking with a growling hunger. 

The sounds and sights are overwhelming after th… https://t.co/0QZKf18ssf",bhejafry,,0,0,2020-06-05 07:48:57
"RT @scroll_in: Centre issues new advisory for #Unlock1: Here's everything you need to know https://t.co/6ESJ6v2p6N 

#UnlockIndia #Lockdown5",Ashwini Tripathi,Lucknow,0,1,2020-06-05 06:10:55
"Centre issues new advisory for #Unlock1: Here's everything you need to know https://t.co/6ESJ6v2p6N 

#UnlockIndia #Lockdown5",scroll.in,,5,1,2020-06-05 06:10:00
Is #unlockindia working better than #lockdownindia ? When lockdown was announced it was a sport to defy it and be o… https://t.co/6o6Xz9YWw9,Kiran Madhunapantula,Hyderabad,2,0,2020-06-05 06:09:33
RT @akaGJS: Over 2 lakh parents petition govt to not reopen schools till #COVIDー19 situation improves or #vaccine is available. Schools clo…,Ramesh T. Choudhary,"Rajasthan, India",0,7,2020-06-05 05:02:19
"RT @Rene_Van_Berkel: Pleasure to discuss #roadmap for #manufacturing firms, incl. #MSMEs, to restart, recover &amp; revitalize business in #unl…",UNIDO India,India,0,2,2020-06-05 04:59:53
"Pleasure to discuss #roadmap for #manufacturing firms, incl. #MSMEs, to restart, recover &amp; revitalize business in… https://t.co/yjW6sPPEp5",René Van Berkel,New Delhi,4,2,2020-06-05 04:54:33
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",Naveenthapa,,0,12,2020-06-05 04:25:28
"Latest updates...
#india records biggest #oneday #rise in #coronavirus cases and deaths #COVIDー19 #survivo2020… https://t.co/PPLP4GG1YD",NipinNNair,,0,0,2020-06-05 04:16:35
"Currently Listening "" My Beizzati""
By Mom ( ft. My Dad ) 

#unlockindia",Panditji_🥀,"Varanasi, India",1,0,2020-06-05 03:54:58
"#UnlockIndia 1.0 : No physical offering will be allowed inside the religious places, under the #guidelines.
Common… https://t.co/t7TRJS0vcW",INTV Media,India,0,0,2020-06-05 03:30:36
"RT @ETNOWlive: .@MoHFW_INDIA issues SOP for #ShoppingMalls, entrances to have mandatory hand hygiene and thermal screening provisions

@lav…",RomeshNadir🇮🇳,"San Francisco, CA",0,2,2020-06-05 03:24:54
"RT @ETNOWlive: .@MoHFW_INDIA issues SOP to contain the spread of #COVID19 in religious places advises people above 65 years of age, pregnan…",RomeshNadir🇮🇳,"San Francisco, CA",0,1,2020-06-05 03:24:35
#COVID19India is now showing a fresh spike. Experts say this spike is now migrated to Rural India. @ShamikaRavi wha… https://t.co/ZKgl8CY7lp,Mani Rayaprolu,"Bengaluru, India",10,0,2020-06-05 02:30:24
"RT @AjitaPande: . #unlockindia  by itself is no panacea . Without empathy with the plight of people , labourers farmers citizens businesses…",Radheshyam Singandup,"Balaghat, India",0,6,2020-06-04 22:17:04
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",Joseph Fanai,Mumbai,0,12,2020-06-04 18:36:21
"RT @ETNOWlive: #IDD | @N_Hiranandani, @ASSOCHAM4India: Market will determine the price in the next couple of months, will not get affordabl…",Hiren Parekh,"Vadodara, Gujarat, India",0,3,2020-06-04 18:35:29
"RT @ETNOWlive: #IDD | @N_Hiranandani, @ASSOCHAM4India: Believes @PiyushGoyal made a sensible statement &amp; requested him to approach @FinMinI…",Hiren Parekh,"Vadodara, Gujarat, India",0,6,2020-06-04 18:35:15
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",Anirban Roy,"Guwahati, India",0,12,2020-06-04 18:03:56
"RT @ETNOWlive: #IDD | @N_Hiranandani, @ASSOCHAM4India: Believes @PiyushGoyal made a sensible statement &amp; requested him to approach @FinMinI…",Nilesh Anandpara 🛢️,"Mumbai, India",0,6,2020-06-04 17:41:28
"RT @ETNOWlive: .@MoHFW_INDIA issues SOP for #ShoppingMalls, entrances to have mandatory hand hygiene and thermal screening provisions

@lav…",Jinesh Chokshi,Ahmedabad,0,2,2020-06-04 17:16:23
"Govt announces guidelines for shopping malls, restaurants and places of worship. #unlock #unlock1 
#unlock1Point0… https://t.co/eoknZmMi6s",Aditya K Rana,Noida,4,0,2020-06-04 16:44:38
"RT @ETNOWlive: .@MoHFW_INDIA issues SOP for hotels, says entrances to now have mandatory hand hygiene &amp; thermal screening provisions

@lava…",Khali 🙏,INDIA,0,7,2020-06-04 16:44:04
"RT @ETNOWlive: .@MoHFW_INDIA issues SOP for hotels, says entrances to now have mandatory hand hygiene &amp; thermal screening provisions

@lava…",Nilesh Anandpara 🛢️,"Mumbai, India",0,7,2020-06-04 16:34:58
"RT @ETNOWlive: #IDD | @N_Hiranandani, @ASSOCHAM4India: Believes @PiyushGoyal made a sensible statement &amp; requested him to approach @FinMinI…",sid,"New Delhi, India",0,6,2020-06-04 16:34:33
"RT @ETNOWlive: #IDD | @N_Hiranandani, @ASSOCHAM4India: Believes @PiyushGoyal made a sensible statement &amp; requested him to approach @FinMinI…",Tamanna Inamdar,Mumbai,0,6,2020-06-04 16:31:42
"RT @ETNOWlive: #IDD | @N_Hiranandani, @ASSOCHAM4India: Market will determine the price in the next couple of months, will not get affordabl…",Tamanna Inamdar,Mumbai,0,3,2020-06-04 16:31:39
".@MoHFW_INDIA issues SOP for #ShoppingMalls, entrances to have mandatory hand hygiene and thermal screening provisi… https://t.co/7haxokdxrM",ET NOW,India,5,2,2020-06-04 16:30:43
"RT @ETNOWlive: #IDD | @N_Hiranandani, @ASSOCHAM4India: Market will determine the price in the next couple of months, will not get affordabl…",वैभव ठाकुर,"Barabanki, India",0,3,2020-06-04 16:26:48
"#IDD | @N_Hiranandani, @ASSOCHAM4India: Market will determine the price in the next couple of months, will not get… https://t.co/hb7wIaXzg2",ET NOW,India,7,3,2020-06-04 16:26:09
"RT @ETNOWlive: #IDD | @N_Hiranandani, @ASSOCHAM4India: Believes @PiyushGoyal made a sensible statement &amp; requested him to approach @FinMinI…",Mohanlal Tejwani,"Pune, India",0,6,2020-06-04 16:24:49
"RT @ETNOWlive: #IDD | @N_Hiranandani, @ASSOCHAM4India: Believes @PiyushGoyal made a sensible statement &amp; requested him to approach @FinMinI…",Rohit More,"Varanasi, India",0,6,2020-06-04 16:22:58
"#IDD | @N_Hiranandani, @ASSOCHAM4India: Believes @PiyushGoyal made a sensible statement &amp; requested him to approach… https://t.co/uNsZ6GARhu",ET NOW,India,7,6,2020-06-04 16:15:46
"RT @ETNOWlive: #IDD | @TheAnujPuri, @ANAROCK: Already seeing 65% transaction value in #Bengaluru, #Karnataka 

@TamannaInamdar #UnlockIndia…",Dilip Agarwal,,0,2,2020-06-04 16:14:10
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",🇮🇳 East Jaintia Hills Police 🇮🇳,Khliehriat ,0,4,2020-06-04 16:12:39
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",🇮🇳 East Jaintia Hills Police 🇮🇳,Khliehriat ,0,12,2020-06-04 16:12:39
"RT @ETNOWlive: #IDD | @TheAnujPuri, @ANAROCK: Already seeing 65% transaction value in #Bengaluru, #Karnataka 

@TamannaInamdar #UnlockIndia…",nitintotewarMT,"Nagpur, India",0,2,2020-06-04 16:11:30
"#IDD | Vinod Rohira, @K_Raheja_Corp: In the last 5 years, real estate has been hit by #Demonetisation, #RERA &amp; #GST… https://t.co/jSNAEnzKeb",ET NOW,India,8,0,2020-06-04 16:10:22
"#IDD | @TheAnujPuri, @ANAROCK: Already seeing 65% transaction value in #Bengaluru, #Karnataka 

@TamannaInamdar… https://t.co/hWXjsq0GY3",ET NOW,India,5,2,2020-06-04 16:04:49
"RT @AjitaPande: . #unlockindia  by itself is no panacea . Without empathy with the plight of people , labourers farmers citizens businesses…",Aparajita Pande,,0,6,2020-06-04 15:54:46
"A map prepared by CSIR-NEERI showing #COVIDー19 cases in #India. (4th June 2020)
#unlockindia https://t.co/YJP6aEhwyw",Pritesh #StayHomeSaveLife 🇮🇳,WorldWide,0,0,2020-06-04 15:54:03
"RT @ETNOWlive: .@MoHFW_INDIA issues SOP for hotels, says entrances to now have mandatory hand hygiene &amp; thermal screening provisions

@lava…",Namo Etle Saune Gamo,,0,7,2020-06-04 15:53:58
"I want to ask Delhi CM #ArvindKejriwal that before sealing border, Did he ask to people's advise? Then why is he as… https://t.co/rTT5u7Xykg",jayoti_solanki,"दिल्ली, भारत",2,0,2020-06-04 15:47:52
.@MoHFW_INDIA issues SOP to contain the spread of #COVID19 in religious places advises people above 65 years of age… https://t.co/Xv6tbfkCc8,ET NOW,India,5,1,2020-06-04 15:45:51
"RT @ETNOWlive: .@MoHFW_INDIA issues SOP for hotels, says entrances to now have mandatory hand hygiene &amp; thermal screening provisions

@lava…",Markets Today,"Tamil Nadu, India",0,7,2020-06-04 15:38:07
"RT @ETNOWlive: .@MoHFW_INDIA issues SOP for hotels, says entrances to now have mandatory hand hygiene &amp; thermal screening provisions

@lava…",Kiran Chada,Thanks to the W W Web.,0,7,2020-06-04 15:35:25
"RT @ETNOWlive: .@MoHFW_INDIA issues SOP for hotels, says entrances to now have mandatory hand hygiene &amp; thermal screening provisions

@lava…",nitintotewarMT,"Nagpur, India",0,7,2020-06-04 15:33:04
".@MoHFW_INDIA issues SOP for hotels, says entrances to now have mandatory hand hygiene &amp; thermal screening provisio… https://t.co/YdSHtdHmxL",ET NOW,India,23,7,2020-06-04 15:31:55
"RT @IAmManeshK: Pause before you react

Pause before you assume

Pause before you regret

#BREAK_THE_SILENCE 
#lockdown 
#UnlockIndia https…",Rahul Jain 🇮🇳🇮🇳🇮🇳 Legal Citizen,"Dubai, Aaramco Facilities ",0,16,2020-06-04 14:54:04
"RT @AjitaPande: . #unlockindia  by itself is no panacea . Without empathy with the plight of people , labourers farmers citizens businesses…",Radha Charan Das,"Nasik, India",0,6,2020-06-04 14:44:16
"RT @MashraniVivek: Economy now more important...

Govt finances draining...

Go wear mask n work so that govt get taxes..😀😀

Bahut khela lo…",RAJIB DAS,"कोलकाता, भारत",0,14,2020-06-04 14:26:51
"RT @AjitaPande: . #unlockindia  by itself is no panacea . Without empathy with the plight of people , labourers farmers citizens businesses…",Vinod M,,0,6,2020-06-04 14:20:46
"#Unlockone #NewNormal #unlockindia #unlockingindia #unlocking #newnormallife #NewNormal2020 
So, we are getting bac… https://t.co/z9tpHo0Fjq",Indranil Sanyal,"Haora, India",0,0,2020-06-04 13:55:47
"RT @AjitaPande: . #unlockindia  by itself is no panacea . Without empathy with the plight of people , labourers farmers citizens businesses…",Sarfaraz Ahmad,Mumbai 400102,0,6,2020-06-04 13:47:12
"RT @AjitaPande: . #unlockindia  by itself is no panacea . Without empathy with the plight of people , labourers farmers citizens businesses…",Sarvesh bhatt,"bhopal,m.p",0,6,2020-06-04 13:08:55
". #unlockindia  by itself is no panacea . Without empathy with the plight of people , labourers farmers citizens bu… https://t.co/hcRXU85d59",Ajita Bajpai Pande,,18,6,2020-06-04 13:07:41
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",Himanshu Awasthi,,0,12,2020-06-04 12:32:23
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",theshillongtimes,"Rilbong, ShillongTHE SHILLONG TIMES Pvt Ltd,
Rilbong, Shillong-4.
Meghalaya, India",0,12,2020-06-04 11:50:03
"Breaking free, or not, is usually determined by whether you want to get Somewhere Slowly or 
Nowhere Fast

Break Fr… https://t.co/v3sJfq1MRB",Vishal Gondal,Global Nomad,6,1,2020-06-04 11:28:13
"RT @ETNOWlive: .@ALIndiaOfficial shrugs off #COVID19 shock. Tune in as ET NOW's @uttkarsh311090 speaks to company MD Vipin Sodhi

#IndiaFig…",Uttkarsh Chaturvedi,"Mumbai, India",0,1,2020-06-04 11:11:47
RT @ETNOWlive: .@ALIndiaOfficial is all set to roll out its new BS VI trucks in the market. ET NOW's @uttkarsh311090 chats with company MD…,Uttkarsh Chaturvedi,"Mumbai, India",0,1,2020-06-04 11:11:44
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",Defence PRO Shillong,"Shillong, India",0,12,2020-06-04 11:00:22
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",AIR News Shillong ~STAY HOME STAY SAFE~,"Shillong, India",0,4,2020-06-04 10:55:16
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",AIR News Shillong ~STAY HOME STAY SAFE~,"Shillong, India",0,12,2020-06-04 10:55:12
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",DD NEWS SHILLONG,"Meghalaya, India",0,12,2020-06-04 10:51:11
.@ALIndiaOfficial shrugs off #COVID19 shock. Tune in as ET NOW's @uttkarsh311090 speaks to company MD Vipin Sodhi… https://t.co/v92mQR5lm0,ET NOW,India,1,1,2020-06-04 10:46:47
.@ALIndiaOfficial is all set to roll out its new BS VI trucks in the market. ET NOW's @uttkarsh311090 chats with co… https://t.co/Am2p3Je13c,ET NOW,India,2,1,2020-06-04 10:44:35
RT @weloveberi: #twitterpoll #poll #LockdownExtended #Lockdownextention #lockdown2020 #Unlock1 #unlockone #unlock1Point0 #unlockingindia #U…,Aridaman Singh Issar,"Bhopal, India",0,1,2020-06-04 10:41:59
"RT @MeghalayaPolice: A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and oth…",Salik Khan,Guwahati-Jaipur,0,12,2020-06-04 10:20:09
#twitterpoll #poll #LockdownExtended #Lockdownextention #lockdown2020 #Unlock1 #unlockone #unlock1Point0… https://t.co/8nTPiqzUFy,Qonsept,Navi Mumbai 400705 Maharashtra,4,1,2020-06-04 10:07:49
"A quick recap of new guidelines on #Unlock1

We request citizens to follow Social Distancing, Personal Hygiene and… https://t.co/zuTKquk0kS",Meghalaya Police,"Shillong, India",10,4,2020-06-04 10:05:37
