Tweets,User,User_location,fav_count,rt_count,tweet_date
First team of Kerala doctors head to Mumbai to set up special hospitals for coronavirus patients... Great work kera… https://t.co/1lK4tlVeWh,Das Vanthala,arukuvalley,0,0,2020-06-01 16:58:35
"nCov: 13 more test positive in Nagpur
#Nagpur #Coronavirusindia #COVID19 #COVID19India #CoronaVirus… https://t.co/hK3dkaCwom",PenNews,,0,0,2020-06-01 16:56:40
"Kolhapur reports 17 new COVID-19 cases
#Kolhapur #Coronavirusindia #COVID19 #COVID19India #CoronaVirus… https://t.co/0N0KBlyTvV",PenNews,,0,0,2020-06-01 16:54:25
July will see another Lockdown for sure--- June will see increasing death rates as per current trend--- #Lockdownextention #COVID19India,Retro,India,0,0,2020-06-01 16:54:00
"When there were 500 cases, the government was having accolades, now there are 1,88,883 cases, then you are saying-… https://t.co/kdU1U2D1yh",pkbk pankaj,INDIA,0,0,2020-06-01 16:53:03
"Slept since the first lockdown. Engaged in theatrics all along, besides doing what he does best, killing people. No… https://t.co/eB8YEQJKY5",Mongoose,,0,0,2020-06-01 16:50:03
"guys task will be going to be more tough 😈 #COVID19India 
#Rainfall
 Stay Home Stay Safe 😊",Mahendra Rajpurohit,,0,0,2020-06-01 16:47:39
"23 new cases takes Assam COVID tally to 1384
#Guwahati #Coronavirusindia #COVID19 #COVID19India #CoronaVirus… https://t.co/ydy587BPps",PenNews,,0,1,2020-06-01 16:46:55
"Manipur govt to provide compensation to media persons affected by Covid 19
#Imphal #Coronavirusindia #COVID19… https://t.co/US2czUXtf3",PenNews,,0,0,2020-06-01 16:44:53
The curve is not flattening...it's fattening. #COVID19India,Sujith Kumar,Chennai,14,1,2020-06-01 16:44:46
@davedharmpal @rajeshtope11 6 Mar 2020 Mr Rajesh Tope had advised that ordinary people need not wear masks.  MVA go… https://t.co/Aula6rfyiW,Yossarian,Mumbai,0,0,2020-06-01 16:43:49
"Top News Updates From Coronavirus Hotspots

#TV9News #CoronavirusIndia #COVID19India https://t.co/nJ7Ad9tfU1",tv9gujarati,"Gujarat, India",5,0,2020-06-01 16:42:33
"All those who attended functions in last 8 days must be tested for COVID: Congress
#congress #goa #prevention… https://t.co/x0O0p6sbeG",PenNews,,0,0,2020-06-01 16:40:59
"12. That said. If anyone knows what can be done, please help me out, comment and enlighten me. Be safe, all. Salute… https://t.co/czM7aolmjS",Anjali Pillai,,0,0,2020-06-01 16:38:35
"11. My lens may be coloured. Anyone could lose sanity in my shoes, I know how hard I tried avoiding blame games. Ju… https://t.co/LfR6M6d8bg",Anjali Pillai,,0,0,2020-06-01 16:38:17
"Covid toll touches 253 in Bengal; 271 new cases
#WestBengal #Coronavirusindia #COVID19 #COVID19India #CoronaVirus… https://t.co/ELHVngzQfN",PenNews,,0,0,2020-06-01 16:37:36
"8392 new corona virus cases &amp; 230 deaths!

Follow us  @NavamiDigital

#coronavirus #COVID19 #COVID19India… https://t.co/krHiBp5LrC",Navami Digital,Bangalore,0,0,2020-06-01 16:36:46
A typical day in the #COVIDtesting lab starts at 8AM &amp; ends past midnight. Kudos to all the volunteers in the lab f… https://t.co/ZR9pGoDt8m,DBT-inStem,"Bengaluru, India",7,1,2020-06-01 16:36:39
"@rajeshtope11 Arsenicum Album is fake. Depsite that, there're news reports that NCP Minister @mrhasanmushrif is dis… https://t.co/14DzjA2Fkd",Yossarian,Mumbai,0,0,2020-06-01 16:33:50
"Top 9 National #CoronaVirusUpdates Of The Day

#TV9News #CoroanvirusIndia #COVID19India https://t.co/q9nG9JnTJm",tv9gujarati,"Gujarat, India",2,1,2020-06-01 16:30:00
"Parents, this image needs maximum likes &amp; retweets on Twitter ... Please help 

#COVID19India #CoronaWarriors #USA… https://t.co/JuwtAvqPqH",Gaurav Barot,Worldwide,4,3,2020-06-01 16:29:34
#ArvindKejriwal My grandfather is corona positive and is on ventilator in a private hospital but Rajiv Gandhi hospi… https://t.co/f4awzBVQgR,Aniket Goel,"New Delhi, India",0,0,2020-06-01 16:29:03
Issue of GST late fee for the past period (August 2017 to January 2020) to be discussed in the next GST Council mee… https://t.co/eXUpqhT9qf,Nikesh Sheth,"Mumbai, Maharashtra",0,0,2020-06-01 16:28:25
"Armenia PM tests positive for coronavirus
#Yerevan #NikolPashinyan   #Coronavirusindia #COVID19 #COVID19India… https://t.co/kDRBmXp4ZP",PenNews,,0,0,2020-06-01 16:25:55
"Heartwarming moment ! 

An elderly woman salutes Police Officer who had come to distribute food items. 👏🙌💐

Respect… https://t.co/odcFxkWqLu",RAJESH SAMAL (Social distancing) 🙏,"NEW DELHI, INDIA 🇮🇳🇮🇳",0,0,2020-06-01 16:22:14
He's started having fever now and we all are stuck at quarantine centre. I am down with fever. Wer is the diligence… https://t.co/YpKQofUeAE,Ninad Rashinkar,Mumbai,0,0,2020-06-01 16:21:57
"Unlock 1.0: 200 timetable trains carrying 1.45 lakh passengers begin journey
#NewDelhi  #VKYadav  #Coronavirusindia… https://t.co/Ty4PnhdEHY",PenNews,,0,0,2020-06-01 16:20:53
COVID 19 Update- Six (6) patients from Nagpur have been admitted in the COVID Ward today afternoon. All are clinica… https://t.co/0dn94fj4t9,AIIMS Nagpur,"Nagpur, India",0,0,2020-06-01 16:20:05
Utter nonsense!Top MNCs provide lakh of job opportunities.dey invest crores on infra!how many swadeshi brands does… https://t.co/EHFRYtNMFb,Argha Dutta,"Bengaluru, India",0,0,2020-06-01 16:19:19
"For heaven's sake stop politicising &amp; bullshitting @ManojTiwariMP For a change,try &amp; add some value to improving th… https://t.co/GTKCo2ZTIe",Joydip D Sur,India,0,0,2020-06-01 16:18:53
"Covid19 Machine Learning Prediction For India For Next 10 Days
#coronavirus
#CoronaIsNotAJoke 
#india
#COVID19India… https://t.co/OXuu1sUxKK",Meet hackers,meethackers@gmail.com,1,7,2020-06-01 16:18:18
"Moody's downgrades India's ratings to Baa3
#moody #india #COVID19India
https://t.co/XsbrGXfJdf",Nitin Vashist,"New Delhi, India",0,0,2020-06-01 16:17:11
"10. My takeaway? We as a nation, a state, a district, aren't prepared for a medical emergency, to protect it's citi… https://t.co/1y39BREHfz",Anjali Pillai,,0,0,2020-06-01 16:17:05
"COVID.

Exponential Growth in Covid in india Now We are at Ranked 1 in Asia and Globally we are at  7th...Position.… https://t.co/QlmM08I7pN",Anil Goswami,Amethi,0,0,2020-06-01 16:16:50
"9. The point I have to make -  compare the information on these 2 images and resource links. 

-… https://t.co/l64Q58OCDV",Anjali Pillai,,0,0,2020-06-01 16:16:47
"#Covid19India
Date - New Cases (Total Cases)

28 May - +6556 (158323)
29 May - +7476 (165799)
30 May - +7964 (17376… https://t.co/pOUdxQFJCs",Rohan Malhotra,"Mumbai, India",1,1,2020-06-01 16:16:18
"You can have great Teachers, but if you don't have a good Principal, you won't have a good School.
#cmomaharashtra… https://t.co/71b1gmuuUh",Paresh Bhayade,Mumbai,0,0,2020-06-01 16:15:06
"8. Another Doctor said, exposed healthcare workers take swab tests even if asymptomatic. So, it's quite clear we ar… https://t.co/NY9m3e2iSG",Anjali Pillai,,0,0,2020-06-01 16:13:48
"7. Parallelly when checked with, doctors insisted we  be symptomatic. I go back and I check the prescription format… https://t.co/2ubBXFOSol",Anjali Pillai,,0,0,2020-06-01 16:13:09
"6. Finally one helpline, psychologically healthy enough to still be able to talk in a humble tone - she adviced we… https://t.co/9h8pWVS5tt",Anjali Pillai,,0,0,2020-06-01 16:12:04
I have been laid off. #ThanksCorona #COVID19India #COVIDUpdates,Magenta Vibes,,0,0,2020-06-01 16:11:59
5. Is it wise to wait for the 78yo with Hypertension to develop symptoms? How sure can I be I won't pass on the vir… https://t.co/bETjDJdS8X,Anjali Pillai,,0,0,2020-06-01 16:10:55
Issue of GST late fee for the past period (August 2017 to January 2020) to be discussed in the next GST Council mee… https://t.co/YI0fFLDMqL,"Expertmile- Tax, Finance, Legal solution",INDIA,2,1,2020-06-01 16:09:24
"4. The chaos begins. My call log filled with helpline numbers (doctors &amp; labs - govt &amp; pvt), only one revelation -… https://t.co/X54DGGg2wS",Anjali Pillai,,0,0,2020-06-01 16:09:08
"Our COVID warriors are invincible in Invisible vs Invincible battle: PM
#NewDelhi  #NarendraModi  #Coronavirusindia… https://t.co/UuFgJBIQk6",PenNews,,0,0,2020-06-01 16:08:19
"@MoHFW_INDIA @MoHFW_GUJARAT 
Can companies force pregnant women to come to office or take leave without pay even if… https://t.co/0J7PxeL1Ky",Proud Indian,,0,0,2020-06-01 16:08:03
"AIIMS Nagpur has approved  General Hospital, 
Navi Mumbai Municipal Corporation (NMMC) at Vashi, Navi Mumbai for… https://t.co/b23hcDR02o",AIIMS Nagpur,"Nagpur, India",9,2,2020-06-01 16:07:48
