Tweets,User,User_location,fav_count,rt_count,tweet_date
Our #CoronaWarriors deserve every bit of gratitude they're receiving. Here's what Sachin has to say about our role… https://t.co/kqzNnaTkRh,MyGovIndia,New Delhi,0,0,2020-06-01 16:49:53
@LibdemK @naomi2009 There needs to be a better understanding of the replies which support Brexit &amp; EU in response t… https://t.co/sODpktyBc8,Nandini,,0,0,2020-06-01 16:48:55
"CHILDLINE Uttar Pradesh provided nutrition support to children and their families in need across the state. 

To le… https://t.co/OuXR6jnTT3",CHILDLINE,India,1,1,2020-06-01 16:47:30
.@MOFPI_GOI welcomes the historic decisions by the Cabinet chaired by the PM @narendramodi for stressed MSME sector… https://t.co/1Xntl2qpFJ,"NIFTEM, INDIA",,0,0,2020-06-01 16:46:25
"#COVID19Updates from #Haryana

Status of #COVID19 cases in Haryana  as on June 1, 2020 (evening) 

🟪 Total Confirme… https://t.co/heyU013Sh6",ROB Chandigarh,"Chandigarh, India",0,0,2020-06-01 16:45:58
Preparedness on first run of Shivganga spl. (Manduadih- New Delhi) at Manduadih station. #SocialDistancing… https://t.co/rFAme7BV6k,DRM Varanasi,,3,1,2020-06-01 16:44:21
#AjayDevgn pays for all the oxygen cylinders and portable ventilators for the #COVID19 field hospital in #Dharavi L… https://t.co/n5KAiVHf8a,@govind kumar@ajay devgon.warld gurup ☝️,"Mumbai, India Chembur Mumbai",1,1,2020-06-01 16:40:39
I've successfully completed 90 days (3 months) in quarantine. Now just 10 days short of reaching a milestone.… https://t.co/ArjpgnM6iB,Tejan Shrivastava,"Mumbai, India",0,0,2020-06-01 16:40:21
94 cases new positive cases in #Telangana. No migrant workers cases. #IndiaFightsCorona #coronavirus https://t.co/O8SffiIDXy,Movie Updates,"Hyderabad, India",1,1,2020-06-01 16:38:57
"#IndiaFightsCorona: 

The 685 personnel embarked today include 553 men, 125 women and seven children. 

The ship is… https://t.co/DLTrPr8ca8",#IndiaFightsCorona,,3,0,2020-06-01 16:37:58
"@shwetajhaanchor Praying to God for speedy recovery...Get well soon 
#IndiaFightsCorona 
#TogetherWeCan",NH_100,India,0,0,2020-06-01 16:36:09
#indiafightscorona DM Gkp has issued new guidelines about various categories of shops and other services during loc… https://t.co/8VK5YXkiRU,SDM Sadar Gorakhpur,"Gorakhpur, India",2,0,2020-06-01 16:35:25
"#IndiaFightsCorona: 

Indian Naval Ship #INSJalashwa departed Colombo, Sri Lanka today evening after having embarke… https://t.co/hdzgE0VHgv",#IndiaFightsCorona,,13,0,2020-06-01 16:34:59
"@dist_sitamarhi @IAS_abhilasha 
#SitamarhiFightsCorona #IndiaFightsCorona #CoronaWarriors #HelpUsToHelpYou

Use mas… https://t.co/4qexZ3f2dR",Ravi Ranjan,"Sitamarhi, India",0,0,2020-06-01 16:32:49
"CSMT-Bhubaneshwar(01019) Konark Express Special Train departed from CSMT (Mumbai)at 15.05 hrs .

 Passengers follow… https://t.co/LStN0uAuy9",IRCTC,India,0,0,2020-06-01 16:31:52
"Alipurduar Jn – Delhi(05483) Mahananda Express Special Train departed today at the scheduled time.

All preventive… https://t.co/5spgcDKurJ",IRCTC,India,0,0,2020-06-01 16:31:41
"#IndiaFightsCorona
Evening #COVIDUpdates :
New cases 1 June till 10pm:

Maharashtra: 2361
Rajasthan: 269
MP: 104 
U… https://t.co/QAnrg9zzyu",Manish Raj 🇮🇳,"New Delhi, India  ",0,1,2020-06-01 16:31:33
"@ICMRDELHI advises States to conduct #serosurvey to measure 
#Coronavirus exposure in the population using #IgG ELI… https://t.co/kvRxWqMfVI",#Vivek #Barve,India,0,0,2020-06-01 16:31:29
"Train no 02715 Nanded-Amritsar  Sachkhand express Special Train departed right time from Nanded. 

All norms of soc… https://t.co/oTUg8d1imR",IRCTC,India,0,0,2020-06-01 16:31:25
Stigma can affect anyone emotionally and mentally. Let’s come together and pledge to fight against the Social Stigm… https://t.co/lxFD6z1RXi,Suman Mondal,port blair,0,0,2020-06-01 16:29:23
"02303 Howrah - NewDelhi (Poorva Express)Special Train started today from Howrah Railway Station

 All preventive pr… https://t.co/Oj9NyVaL3W",IRCTC,India,0,0,2020-06-01 16:28:12
How is thisssss possiable yaar in presence of corona! How the people of andhrapradesh can afford to take risk in pr… https://t.co/uK2gMAUfE2,priyanka_preeRan😻,"Vishakhapatnam, India",1,1,2020-06-01 16:28:05
"#Wajid Bhaijaan, your voice and compositions made by the duo of #SajidWajid have forever left a mark on me. Rest in… https://t.co/A4kLsAhqGt",Abhisek Shyaml,"KOLKATA, HOOGHLY",0,0,2020-06-01 16:25:20
