Tweets,User,User_location,fav_count,rt_count,tweet_date
"Giving a new lease of life to the cars of our customers across India.
Here's how we've been jump-starting people's… https://t.co/mKCNYXJ1ft",GoMechanic,"Gurgaon, India",3,0,2020-06-01 16:41:57
"Understand your responsibility.  Because if there is life then there is a world!

#LockdownExtended #UnlockIndia",Kartik Parsodkar,"Nagpur, India",0,0,2020-06-01 16:18:33
#CoronavirusUpdate | 76 more #COVID19 positive cases &amp; 8 deaths reported in the last 24 hours in #Pune district. De… https://t.co/8MfSptDgNF,ET NOW,India,2,1,2020-06-01 16:15:44
"#Measures to be Taken in #kitchen &amp; #Restaurant Before #Unlock1 #UnlockIndia #UnlockingIndia  
Read #Blog of Jude M… https://t.co/gF2a4YiJ6r",Better Kitchen,"Mumbai, India",1,0,2020-06-01 15:59:10
"All the Office has started to work with 100% attendance with same normal timing, there is no relaxation on time. Bu… https://t.co/hChT2G4q7j",Nilotpal Datta,Kolkata,0,0,2020-06-01 15:40:34
"Mechanic/Technicians-Yes(incourage them to put a record in register of places they visiting)
Metros-No
School/Colle… https://t.co/pbcXT5vQVg",Chhattisgarh Corona Update,"Chhattisgarh, India",4,2,2020-06-01 15:14:18
@WesternRly @RailMinIndia @RailwaySeva @IRCTCofficial #Unlock1 #UnlockIndia #UnlockIndiaDebate Haven't received your reply on above message?,Rohit Vatsa,"Bharuch, India",0,0,2020-06-01 15:11:22
"Unlock 1.0
#Unlock1Point0 #UnlockIndia
#COVIDー19 https://t.co/R54Kkzun59",Bharathi Sriman,"Madurai South, India",1,0,2020-06-01 15:09:31
"The fact that #data didn’t guide targets (for beds, ventilators etc) on day 1 is one thing; that the experts are mi… https://t.co/pRSJ4ULmmT",sensecurator,Wherever I may roam,0,0,2020-06-01 14:52:36
"Spotted limited edition of #Mustang 😆😁
Ye entertainment ghar bhaithe na mile Tau.
I missed gurgaon, never knew it w… https://t.co/vlWUMDV7Fw",Gaurav Gupta,Delhi/Rajasthan-INDIA,4,0,2020-06-01 14:46:58
sir please allow cloth shops to open as it's high time now &amp; it is very hard to survive with no source of income. e… https://t.co/y8J9ElyYBf,shivangi dhanuka,,16,20,2020-06-01 14:29:03
"First #rain of the season.
.
#water #waterdrops #photography #photooftheday #photographyeveryday #love #cool… https://t.co/6QQ5lqirze",Mayank Chandna (Abhaidev),,1,0,2020-06-01 14:18:22
#Maharashtra govt allowed the resumption of film &amp; TV shoots in non #ContainmentZones with a set of guidelines that… https://t.co/5yjGlVRxZF,ET NOW,India,8,3,2020-06-01 14:01:50
".@DGCAIndia issues fresh guidelines to #airline companies,  asks the airlines to allot seats on the flight in a man… https://t.co/zpOayTCgWM",ET NOW,India,3,1,2020-06-01 13:55:20
"After 68 days, back to the office..
#UnlockIndia #Unlock1Point0 https://t.co/A9vpyJjV8c",Ankita Lahiri,"Kolkata, India",0,0,2020-06-01 13:40:44
"Do not step out unnecessarily.
Keep yourself away from the #virus, stay #healthy :)

#NoPlaceLikeHome #Unlock1… https://t.co/mkJB0vROoQ",Victoria Realtors,"Coimbatore, India",1,0,2020-06-01 13:40:10
"India looks to open up for work, make the smart choice of carpooling to work.

#IndiaUnlocked #UnlockIndia #Unlock1 https://t.co/NDpJvqRY8l",Quick Ride,India,2,0,2020-06-01 13:29:00
"#LockdownWithoutPlan 
Now #UnlockIndia without preparation

Maximum Government Minimum Governance

 #StepDownModi",ET,,0,0,2020-06-01 13:26:39
"Breaking News 🤣

#अनलॉक #अनलॉक_1 
#Unlock #Unlock1 
#UnlockIndia #unlockdown 
#Unlock1Point0 #Lockdown5… https://t.co/ltOoAaHZP0",Gautam Anand,India,1,2,2020-06-01 13:03:33
"After Long time on the first day of #UnlockIndia @ #Infocity - #Gandhinagar 😊🌹

Dont worry.. Its not for Travel.. I… https://t.co/2F48oAJC82",Deepak Jain,"Ahmedabad, Gujarat, India",1,0,2020-06-01 13:02:42
"So treatment at #AIIMS and other government hospitals. For a, week only delhis prerogative @ArvindKejriwal… https://t.co/axnsvByCNs",vermasatya,India,0,0,2020-06-01 12:56:01
Today marks #UnlockIndia - the challenge for #MSMEs is on to #BuildBackBusinessfromCrisis. @UNIDO_India &amp; partners… https://t.co/U6E578ru1a,UNIDO India,India,24,3,2020-06-01 12:51:50
#UnlockIndia #SchoolTimes #KeralaModel #Kerala #Students get text books at own 🏠 by #GovernmentUnusual #government… https://t.co/l26ZrKgd1P,Khalid Mulla خالد ख़ालिद,"Ramoji FilmCity, Hyd,Telangana",1,0,2020-06-01 12:39:00
These days we have 4GB (Gibberish Babus) RAM with 1 TB (Tirelessly Boring) guidelines and i5 (Idiots*5) processors… https://t.co/AOb9s7j5Qt,Rahul Dev,"Gurgaon, India",2,1,2020-06-01 12:38:34
"#Assam: Barber shops, parlours open from today; religious places, hotels, restaurants, shopping malls allowed from… https://t.co/3uworMAzSJ",EastMojo,"Guwahati, India",1,0,2020-06-01 12:36:29
#SakalPoll: Should India continue with the 'Unlock 1' plan after it registered yet another highest single-day spike… https://t.co/vYD8wA8grR,Sakal Times,"Maharashtra, India",0,0,2020-06-01 12:35:03
"Just heard someone say-‘Today, my maid agreed to be back to work after 8 weeks &amp; I lost my job..!’ #UnlockIndia",Anand Agrawal,Hyderabad,0,0,2020-06-01 12:15:18
"#ETNOWExclusive | Sriram Khattar, @DLF_India: Need clarity whether the food court is being treated at par with… https://t.co/j4ixyrDMbB",ET NOW,India,1,2,2020-06-01 12:13:42
Now the big question who is ready to brave the Salons 😊 #UnlockIndia https://t.co/otzZRNMiCv,Naghma Sahar,New Delhi,44,2,2020-06-01 12:08:34
"#ETNOWExclusive | @rohitisb, @oyorooms: Lot of the hotels are #economy hotels &amp; are gearing to open up… https://t.co/u4WO3CZ2Di",ET NOW,India,5,0,2020-06-01 12:07:09
"Buy @BeardoForMen's body wash via @KickcashC and Get 10% cashback. 
.
Download KickCash for more such offers👉🏼… https://t.co/3nwx7ayzOf","KickCash - Top Cashback Deals, Offers, and Coupons","Gurugram, India",0,0,2020-06-01 12:05:24
"As India Begins its Unlock 1.0, we should be ready to pick up our #facemasks, #sanitizer and get going once again w… https://t.co/DJiJVRiaW4",Semco Care+,,1,1,2020-06-01 12:04:31
"https://t.co/z6Fbl45cps

Latest Covid-19 updates | LOCKDOWN 5.0 | Unlock 1.0 | 
INDIA | Lockdown 5 guidelines

Expl… https://t.co/Fv1iLVeUkH",Sandeep Rajakrishnan,,0,0,2020-06-01 11:50:55
This State will not allow Inter-State Transport | #lockdownindia #UnlockIndia #Law #Latest #LatestLaws #LegalNews… https://t.co/2SUvRmnOF0,LatestLaws.com,India,0,0,2020-06-01 11:33:15
"Union Minister @nitin_gadkari addresses media regarding the decisions taken in the #Cabinet meet

@minmsme @AgriGoI… https://t.co/883d5b2VUp",ET NOW,India,7,1,2020-06-01 11:27:17
Open #Noida #Ghaziabad #noidaborder #UnlockIndia #UPPolice #YogiAdityanath @dmgbnagar @dm_ghaziabad it’s #NCR https://t.co/FtAomniY4h,Zahid Hussain Khan,"New Delhi, India",0,0,2020-06-01 11:27:01
"Strength grows when we dare,
Unity grows when we pair,
Love grows when we share;
And relationships grow when we car… https://t.co/mwX5HUkvKs",SS Tradelink Jaipur,"Jaipur, India",2,1,2020-06-01 11:20:53
Tune in as Union Minister of #Agriculture @nstomar addresses the media regarding the #Cabinet meeting. Tune in!… https://t.co/Wi4X9yoYva,ET NOW,India,1,1,2020-06-01 11:19:34
"Union Minister of #Agriculture, @nstomar: Govt hikes MSP for Sunflower seed to Rs 5,885/100 kg

@nitin_gadkari… https://t.co/6ZMvzkibMX",ET NOW,India,12,2,2020-06-01 11:13:43
Over 2 lakh parents petition govt to not reopen schools till #COVIDー19 situation improves or #vaccine is available.… https://t.co/lcRDnpzXjs,Gunjan Sharma,,7,6,2020-06-01 11:02:15
Union Minister @PrakashJavdekar on the #Cabinet meeting: #MSP for #Kharif crops to be 50-83% over cost… https://t.co/QrXHztelRG,ET NOW,India,3,0,2020-06-01 11:01:26
As per the CACP recomendation 14 kharif crop's minimum support prices has been cleared by the cabinet.@nstomar… https://t.co/JRXT9L90oo,madhvi sally,"New Delhi, India",2,1,2020-06-01 10:56:00
"This detail by @Indiastats is good enough to showcase what is expected when #UnlockIndia begins.
What do you think… https://t.co/WyTSuYXNDV",𝓜𝓪𝓱𝓲𝓶𝓪 𝓢𝓱𝓪𝓻𝓶𝓪,,0,0,2020-06-01 10:55:28
360 lakh tonne wheat procured this year says @nstomar #CabinetDecision @EconomicTimes #UnlockIndia #IndiaFightsCOVID19,madhvi sally,"New Delhi, India",1,0,2020-06-01 10:53:48
"Union Minister @PrakashJavdekar on the #Cabinet meeting: Cabinet approves equity scheme for #MSMEs

@nitin_gadkari… https://t.co/3YA9w15GGU",ET NOW,India,5,0,2020-06-01 10:53:18
@aajtak hope for the best. #UnlockIndia #unlock. 🤗🙏,pooja saroj,"Lucknow, India",1,0,2020-06-01 10:51:57
MSP of 14 foodgrains to be issued today for farmers. #CabinetDecision @EconomicTimes #UnlockIndia #IndiaFightsCOVID19,madhvi sally,"New Delhi, India",1,0,2020-06-01 10:47:52
"Union Minister @PrakashJavdekar says that the #Cabinet took decisions on #MSMEs, #agriculture. Tune in!

@PMOIndia… https://t.co/qGYsgxlcqY",ET NOW,India,4,1,2020-06-01 10:43:34
"Mostly things getting allowed to open after #Unlock1 in India...
Coronavirus - 

#Unlock #UnlockIndia #unlockone… https://t.co/jvwnCOjLvc",The_Narcissist,Searching..,0,0,2020-06-01 10:25:06
Its time to #unlock your taste buds with traditional #HomemadeFOOD as our nation is also heading towards #Unlock1!!… https://t.co/ce7d0Ai0Nt,Nativ Chefs,Nagpur,1,0,2020-06-01 09:59:54
"It's the best time to create CYCLING LANES"" all across the city. It is a pollution free mode of transport .… https://t.co/iXJk6OyuWj",Jasmine,,0,0,2020-06-01 09:42:18
"Punjab Unlock 1 Guidelines: Barber Shops, Salons, Beauty Parlours, Auto Rickshaws, Buses Allowed to Function, Check… https://t.co/0bc8CAuiqW",LatestLY,"Mumbai, India",1,0,2020-06-01 09:35:12
Allot seat in a manner that middle seat remains vacant if load factor permits: @DGCAIndia to #Airlines… https://t.co/fNzmuC2bfk,ET NOW,India,4,1,2020-06-01 09:25:36
"All these days the crowd of Kochi was contained in their homes.
It seems Unlock 1.0 has just broke opened the flood… https://t.co/QCTwN2n1oU",Vaishak P.R.,Kochi,0,0,2020-06-01 09:22:34
"Allot seat in a manner that the middle seat remains vacant if load factor permits, says @DGCAIndia to various… https://t.co/ehWG6GlCcZ",ET NOW,India,9,4,2020-06-01 09:12:23
"Unlock your own self ✨
#unlock #UnlockIndia",myrjsana,India,1,0,2020-06-01 09:09:53
"Himachal Pradesh hotels to reopen after June 8 but...: CM Jai Ram Thakur @jairamthakurbjp
#IndiaFightsCOVID19… https://t.co/VLnT5kPMHV",Green Planet News (www.greenplanetmagazine.in),"Lucknow, India",0,0,2020-06-01 09:05:00
"Himachal Pradesh hotels to reopen after June 8 but...: CM Jai Ram Thakur
#IndiaFightsCOVID19 #Unlock1 #UnlockIndia… https://t.co/BMgmomfYXu",India TV,India,34,2,2020-06-01 09:03:47
"At first, other states sealed their border with Delhi, now on commencement of #UnlockIndia delhi closes it borders,… https://t.co/Mp6yTvWmvq",SHUBHANGI garg,"Pune, India",0,1,2020-06-01 08:39:29
"ETEnergyworld | COVID-19: India added 989 MW solar capacity in Q1 2020, says report

@mnreindia @RajKSinghIndia… https://t.co/iwtniKcEAH",ETEnergyWorld,"New Delhi, India",0,2,2020-06-01 08:35:48
"@PadmajaJoshi First other states sealed their borders with Delhi, on the 1st day of #UnlockIndia Delhi closes its b… https://t.co/8NQy16KB0V",SHUBHANGI garg,"Pune, India",0,0,2020-06-01 08:34:24
"These are the Guidelines for Unlock 1.0

Be prepared &amp; #StaySafe 

Follow @takshilalearning for more updates… https://t.co/rQRsRvtCjT",Takshila Learning,New Delhi,0,1,2020-06-01 08:30:19
As we start a new beginning with the much needed #Unlock1 #unlockone would advise and request everyone to still be… https://t.co/t1v9lG3Lwy,Parvin Dabas,,7,2,2020-06-01 08:28:07
"#Home https://t.co/n30Rg8akWL is #happy #healthy place. 
Stay indoors as much as you can. #StayHome #StaySafe .… https://t.co/utzg762ym5",Nutrafy,"Gurgaon, India",0,0,2020-06-01 08:14:25
Yar jab sab unlock hi karna tha to lockdown kyu kiya... What's the difference in conditions in what is today and wh… https://t.co/Pvl3Kc2NSL,Ashu,,1,0,2020-06-01 08:07:20
"@shukla_tarun In #Mumbai except for public transport, its biz as usual.  There is a lineup on vehicles at every tra… https://t.co/MCoWHra6o2",Dino Marino,Dubai/Mumbai,2,2,2020-06-01 07:56:58
"sanitization, and monitoring the lapses. It will risk life of every corporate individuals who will be forced to com… https://t.co/clAldH04IL",Sagar Parikh,,0,0,2020-06-01 07:47:05
"@narendramodi
Deep regret on decision for #UnlockIndia taken without any due diligence and risking life of Indian p… https://t.co/dEty7G81Cn",Sagar Parikh,,0,0,2020-06-01 07:47:04
"Those who have Fever/cough/fatigue/dypnea should not be allowed to board in bus, train or flight in order to contai… https://t.co/PmxuZPJ8oI",Dr. Kamaraj C Natesan,Coimbatore,0,0,2020-06-01 07:46:50
"Unlock 1.0 

India's Exit Strategy

India unveils plan to lift the lockdown

#indev #indevconsultancy
#unlockindia… https://t.co/HNBtHLNrUm",Indev Consultancy Pvt Ltd,New Delhi ,1,0,2020-06-01 07:45:43
"Pl do read my new blog and subscribe https://t.co/ZzZjM7ujV8

#blogger 
#Blog 
#blogging 
#bloggerstribe… https://t.co/j32oTjHPw9",MANISH,mumbai,3,1,2020-06-01 07:40:05
"Ghar ka khana.. All about lockdown cooking 😋
Guess what all are the veggies there 👇🏻 Anyone?? #Learningathome… https://t.co/0EROmuhbW8",UrVashi VeRma,"New Delhi, India",2,0,2020-06-01 07:36:17
"CM Kejriwal announces sealing of Delhi borders for one week amid COVID-19 outbreak
#IndiaFightsCOVID19 #Unlock1… https://t.co/dtQkA5ip9S",India TV,India,18,2,2020-06-01 07:15:40
#shopping is going to change drastically now shops get permit to open Odd-Even basis no trail rooms will be allowed… https://t.co/EMp8erZIql,Nishant Morey🇮🇳,"Mumbai, India",2,0,2020-06-01 07:06:24
"We all are expressing delight on the slow &amp; steady #UnlockIndia, but let us not forget the difficulties we all had… https://t.co/L4RThMODmc",MM,"Hyderabad, India",1,1,2020-06-01 07:02:03
