,Tweets,User,User_location,fav_count,rt_count,tweet_date
0,"RT @Bankers_United: Dear Friends, as we all know that so far Govt hasn't initiated any step for safety of Bankers &amp; we dont know how many o…",shahid,Lucknow,0,105,2020-05-31 08:34:22
1,"In this #COVID19India, #Lockdown5, ppl minds hav bcom worst n also r misusing their Professions. Any services requi… https://t.co/cnMWHycJkF",Hitesh Sota Thakkar,"Mumbai, India",0,0,2020-05-31 08:34:21
2,RT @gildelhi: Here is our answer to all the questions on Covid-19.... #COVID19India https://t.co/bq3KV9rAKs,Bhanu Pratap Singh,New Delhi,0,2,2020-05-31 08:34:19
3,"NASA selects 3 Indian companies to make COVID-19 ventilators
Those companies are below

1. Alpha Design Technologie… https://t.co/qIpWV6t2Oz",Abhay Trivedi,raebareli,0,0,2020-05-31 08:33:59
4,RT @sagarikaghose: The epidemic of stupidity in India is spreading faster than the #COVID19India pandemic.,Zaid Ahmed,"Kolkata, India",0,93,2020-05-31 08:33:09
5,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",Locust_Sivan,Chennai,0,15,2020-05-31 08:32:29
6,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",Dancing??Democray,#Democracy  #FundamentalRights,0,15,2020-05-31 08:32:29
7,"?? The Punishment of Allah is Here
#COVID?19 #COVID19India #COVID19Pakistan #riots2020 #COVID #covid1948 #Covid19usa… https://t.co/XSCwsD9XVf",Muhammad Qasim Dreams????,"Lahore, Pakistan",1,0,2020-05-31 08:32:18
8,"RT @ManavDharam: In this hour of need, #Manav_Utthan_Sewa_Samiti, #Howrah (West Bengal ) distributed grocery packages to needy people by fo…",Ugrasen Patel,"Raipur, India",0,13,2020-05-31 08:31:57
9,RT @parthsuba77: #COVID19India has shown lots of goosebumps and this was one of the scariest ??,Harmeet Kaur Dawar,Ahmedabad,0,1,2020-05-31 08:30:24
10,"COVID-19 Assam update: 56 more test positive, cases rise to 1272 #COVID19 #COVID19India #covid__19 #COVID19Update
https://t.co/0KyBFz2LTu",Anirban Roy,"Guwahati, India",0,0,2020-05-31 08:30:18
11,"Covid-19: Tripura to test all returnees amid strained resources
#tripura #coronatest #Coronavirusindia #COVID19… https://t.co/Oyhm5DDdzK",PenNews,,0,0,2020-05-31 08:30:15
12,@INCIndia @RahulGandhi and the opposition is silent on what's the centres plan to contain #COVID19india ... https://t.co/735hvIJ65L,may,,0,0,2020-05-31 08:29:44
13,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",Satbir Ahluwalia,RT not endorsement.Abuse=block,0,15,2020-05-31 08:29:42
14,RT @sagarikaghose: The epidemic of stupidity in India is spreading faster than the #COVID19India pandemic.,Munaaf Patel,"Johannesburg, South Africa",0,93,2020-05-31 08:29:17
15,RT @SandipGhose: The problem with Corona is the older generation are more vulnerable to the virus but would be less worried about jobs - th…,rasheed kidwai ???? ????? ???? ??????,,0,3,2020-05-31 08:29:16
16,RT @sagarikaghose: The epidemic of stupidity in India is spreading faster than the #COVID19India pandemic.,I'Elliott,"Bengaluru, India",0,93,2020-05-31 08:28:58
17,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",?? | ??????,"Bengaluru, India",0,15,2020-05-31 08:28:55
18,"RT @AvdheshanandG: Your surrounding environment influences the state of your mind.  Try to create a divine, pure and beautiful surrounding…",Munender Giri Goswami (ThE RoYaL DaShNaMi),Ghaziabad Uttar Pradesh(India),0,217,2020-05-31 08:28:39
19,"RT @MonishJ94815458: Risking lifes of students and teachers just for politics and funds.
Wahh @ChouhanShivraj mama ji wahh! @OfficeofSSC @u…",Mansi Agarwal,,0,3,2020-05-31 08:28:38
20,"RT @myUpchar: A study detailing the harmful effects of #hydroxychloroquine on #COVID19 patients has been criticized, with over 120 experts…",Tilak,"?? ??????, ????",0,1,2020-05-31 08:28:34
21,Gujarat High Court has impleaded @ICMRDELHI as a respondent and has asked them to answer 6 Questions on their new t… https://t.co/0xArFhLZSU,???????? Punit Juneja,India,0,0,2020-05-31 08:28:27
22,#COVID19India has shown lots of goosebumps and this was one of the scariest ?? https://t.co/4ADEXVURbd,Parth Suba,"Pune, India",0,1,2020-05-31 08:28:26
23,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",SS Bunty,,0,15,2020-05-31 08:28:16
24,"RT @Sachbang: Check out @PetaIndia’s full page pro-veg ad in today’s Mumbai and Delhi editions of The Times of India @timesofindia! 

#Indi…",Jyoti Vashisht, India,0,6,2020-05-31 08:27:51
25,"RT @abantika77: Full text of the Joint statement by IPHA, IAPSM &amp; Indian Association of Epidemiologists #communitytransmission #COVID19Indi…",whaaa,,0,11,2020-05-31 08:27:14
26,"@WHO asked people to increase their immunity to avoid #COVID19India contraction. So, they are out to buy immunity. https://t.co/fXl3ShOfXQ",Media Scarecrow,New Delhi,0,0,2020-05-31 08:26:55
27,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",20 lakh crore LIES since 2002????,,0,15,2020-05-31 08:26:43
28,Ban Tiktok Ban Chinese Products ????. @PMOIndia @narendramodi @AmitShah @rashtrapatibhvn @CMOGuj  . Kindly help in Ma… https://t.co/0wX0rd2O9G,Vishal Ladsaria,Ahmedabad,0,0,2020-05-31 08:26:40
29,"RT @LtGenGurmit: 1/n
31 May 2020 :
#COVID19India, #CoronavirusIndia, #Lockdown Unlock ???

No Vaccine &amp; Solution in Immediate Sight, Yet

M…",Hindi-Balochi bhai bhai,"Pune, India",0,6,2020-05-31 08:26:37
30,"COVID-19 Assam update: 56 more test positive, cases rise to 1272
#AssamCovidCount #Assam #COVID19India… https://t.co/De5UPT5k6e",NorthEast Now,"????????, ????",0,0,2020-05-31 08:26:34
31,All this #ThaaliBajao ing and #DiyaJalao ing was like washing your bum before you defecate. The real tragedy is jus… https://t.co/YjaLfT95Ev,SkyWalkerProject°°?•???l????S,Timbuktu,1,0,2020-05-31 08:26:11
32,"Unlock 1.0 Highlights 
#Unlock1 
#COVID19India #LockdownEnd 
#StayHomeStaySafe https://t.co/Z8aazWijbJ",Jatin Sharma,"Vapi, India",0,0,2020-05-31 08:26:10
33,"RT @YayathiPuru: Does India really have a low death rate from #COVID19India ?
https://t.co/zxbZzioXz5",Suman,London,0,15,2020-05-31 08:26:05
