Tweets,User,User_location,fav_count,rt_count,tweet_date
"A landmark day for us...75 viral diagnostic labs, testing capacity of 30,000 and more than 4,00,000 tests. In a spa… https://t.co/faabmdVRZi",Dr. Sanjay Mukherjee,Mumbai,204,105,28-05-2020 16:33
"#Covid_19 Faridabad, Haryana Update:

Total Cases - 276
Active Cases - 101
Cured/Discharged - 138
Asymptomatic (+ve… https://t.co/8ZJHhoIkCt",DIPRO Faridabad,Faridabad,17,0,28-05-2020 16:17
"#Covid_19 Faridabad, Haryana Update:

Total Cases - 276
Active Cases - 101
Cured/Discharged - 138
Asymptomatic (+ve… https://t.co/XWuNnMTCbb",DC Faridabad,"Faridabad, India",44,2,28-05-2020 16:16
"UPDATE (28 MAY 2020, 9:00 PM)

In the last 1 month, the daily growth rate has varied from 3 to 9%. The average dail… https://t.co/URX0c7v3eP",Dillip Mohanty,Mumbai,1,0,28-05-2020 16:11
"UPDATE (28 MAY 2020, 9:00 PM)

Maharashtra, Tamilnadu, Gujarat &amp; Delhi constitute 73% of the total active cases in… https://t.co/DjxFmA5xg2",Dillip Mohanty,Mumbai,1,93,28-05-2020 16:10
"UPDATE (28 MAY 2020, 9:00 PM)

Out of 27 states &amp; UTs with a minimum of 50 cases, 14 have more than 50% of cases re… https://t.co/VevvWbLzfi",Dillip Mohanty,Mumbai,0,15,28-05-2020 16:10
"UPDATE (28 MAY 2020, 9:00 PM)

Among states with minimum 200 confirmed cases, Punjab has the lowest (8%) active cas… https://t.co/s9Wi9yeE6N",Dillip Mohanty,Mumbai,0,15,28-05-2020 16:10
"UPDATE (28 MAY 2020, 9:00 PM)

Total Confirmed Cases - 163849
Total Recovered Cases - 69622
Total Deaths - 4569
Tot… https://t.co/3q0OLX4oJa",Dillip Mohanty,Mumbai,2,0,28-05-2020 16:10
"#IndiaFightsCorona: 

The above changes shall be implemented with effect from 08:00 hrs of train booking date of 31… https://t.co/xI1KxQT7Qa",#IndiaFightsCorona,,7,13,28-05-2020 15:56
"Puri-pickle packets, Breads, bananas, Biscuit packets &amp; Railneer bottles were served to 1941 passengers of 05637, A… https://t.co/1rVwyJ75Mk",DRM APDJ,Alipurduar Jn PIN - 736123,77,1,28-05-2020 15:48
"Watch our programme #Duniya_Mere_Aage special on Indian Foreign Policy: Vasudhaiva Kutumbakam on 28 May, Thursday a… https://t.co/dMRrbDxN0o",DD-URDU,,2,0,28-05-2020 15:04
"#CoronaVirusUpdates: 

#COVID19 India Tracker
(As on 28 May, 2020, 08:00 AM)

▶️ Confirmed cases: 158,333
▶️ Active… https://t.co/INhLuNx94o",JAMMU WEEKLY NEWS,Jammu And Kashmir,0,0,28-05-2020 12:04
"06140 Coimbatore- Dibrugarh Shramik Spl arrived New Alipurduar at 16.00 hrs. Kachori, Laddu, Sauce sachet, Water, T… https://t.co/LDD13JJdFz",DRM APDJ,Alipurduar Jn PIN - 736123,31,0,28-05-2020 11:45
#JKKN College of Engineering and Technology proudly hosts #LearningNeverStops_JKKN - #Webinar Series 20 - #Virtual… https://t.co/WKEHRhuigP,JKKN INSTITUTIONS,"KOMARAPALAYAM, ERODE",0,15,28-05-2020 10:54
"📡LIVE at 4:00 PM📡

Press briefing on the development of drugs, vaccines and technologies for testing during… https://t.co/Zfe0U2LFjw",PIB in Tamil Nadu 🇮🇳 #StayHome #StaySafe,"Tamil Nadu, Chennai",0,93,28-05-2020 09:54
"#Covid_19 Faridabad, Haryana Update:

Total Cases - 275
Active Cases - 119
Cured/Discharged - 123
Asymptomatic (+ve… https://t.co/nplM6KSi1z",DIPRO Faridabad,Faridabad,16,3,28-05-2020 09:12
"#Covid_19 Faridabad, Haryana Update:

Total Cases - 275
Active Cases - 119
Cured/Discharged - 123
Asymptomatic (+ve… https://t.co/O9EJMsIewO",DC Faridabad,"Faridabad, India",49,93,28-05-2020 09:11
"LIVE at 4:00 PM📡

Press briefing on the development of drugs, vaccines and technologies for testing during… https://t.co/xVguRi6hsW",#IndiaFightsCorona,,67,15,28-05-2020 08:54
"Watch our special programme #Yeh_Hai_India based on World Environment Day on 31 May, Sunday at 09:00 pm and repeat… https://t.co/QXGMvXwGVu",DD-URDU,,3,217,28-05-2020 08:50
"📡LIVE at 4:00 PM📡

Press briefing on the development of drugs, vaccines and technologies for testing during… https://t.co/W4bZy9vmUM",PIB India #StayHome #StaySafe,New Delhi,94,3,28-05-2020 08:32
