,Tweets,User,User_location,fav_count,rt_count,tweet_date
0,"Lockdown 5.0
...
#lockdown #lockdown2020 #lockdownlife #extended #lockdownextended #lockdown5 #indialockdown #india… https://t.co/pEfNBkEj8w",designershreyas,"Mumbai, India",0,0,2020-05-31 07:30:32
1,"Are you considering closing your SIP?
Are there different types of SIP investors?
Follow &amp; like Us to get best guid… https://t.co/yzwcOxi1pu",Invest My Funds,"416, Laxmi Deep Building",1,0,2020-05-31 07:02:51
2,"Lockdown 5.0 be like.

*Upar upar se karlo*

#Lockdown5 #indialockdown #lockdownmeme #memes #desimemes #indianmemes",sanju pal,,0,0,2020-05-31 06:40:09
3,"Well, my shoes and lipsticks probably think I died.??

#QurantineLife #indialockdown #pandemicdays #LifeInTimesOfCorona #MissingPreQurantine",RV,"india,mumbai",1,0,2020-05-31 06:33:24
4,"CoronaVirus Latest Updates In Andhra Pradesh, Telangana, And India At 11:15 AM On 31st May 2020.… https://t.co/Av49Cu8qzb",Mango News,Hyderabad,0,0,2020-05-31 05:53:40
5,"RT @abntelugutv: Heart-breaking video of toddler trying to wake up his Lifeless mother at Bihar Railway Station. According to her family, s…",Rajershi ????,India,0,10,2020-05-31 05:03:24
6,"RT @Lady_nishaaa: Are they starting International Flights to/fro India?

#IndiaLockdown",Prabhat Chandra,"Bengaluru, Karnataka",0,1,2020-05-31 00:10:16
7,"[Lockdown self-service] Drinking water stopped during lockdown :( No worries!

How to fix pureit red light at home… https://t.co/EsB9MZ674a",messyinfotainment,Bangalore,0,0,2020-05-30 19:26:36
8,"RT @BhadaniPradeep: @IndiGo6E @DGCAIndia @IndiGo6E can you provide explanation?

@DGCAIndia @PiyushGoyal @PiyushGoyalOffc @HardeepSPuri @PM…",Pramod,"Bhopal, India",0,3,2020-05-30 18:27:59
9,Initially you guys posted the news with a datebof may 25th.... strange.. or were u guys trying to predict the futur… https://t.co/OkZft0Vf6F,Rohail,,0,0,2020-05-30 17:09:02
10,"RT @V6News: Lockdown 5.0: Malls, Restaurants, Places Of Worship Can Open Starting June 8 | V6 News

#Coronavirus #IndiaLockdown #Lockdown5",Susheel Kumar,"Hyderabad, India",0,4,2020-05-30 16:36:42
11,RT @amiRohit: @BSNLCorporate What about the #Pan #India #bsnlfightscorona Tariff offer given to all  Indian states even to #Lashwadweep whi…,Dr Suneeta,"New Delhi, India",0,4,2020-05-30 16:14:48
12,"RT @abntelugutv: Heart-breaking video of toddler trying to wake up his Lifeless mother at Bihar Railway Station. According to her family, s…",vasanth vasu,,0,10,2020-05-30 16:04:12
13,"RT @V6News: Lockdown 5.0 extended in containment zones till June 30 | V6 News
Watch Video &gt;&gt; https://t.co/VtHJfwKymP

#Coronavirus #IndiaLo…",mahesh ankam,,0,1,2020-05-30 15:58:01
14,June 8th it is ... #Hyderabad #hyderbadlockdown #indialockdown https://t.co/4T0YdLm0M0,Rohail,,0,0,2020-05-30 15:52:01
15,"My humble request to @ArvindKejriwal  sir to just play one match with me.
@PUBGMOBILE @PUBGMOBILE_IN 
#PUBGMOBILE… https://t.co/Pg8Xc5XoQi",AviNaash????,"Gujarat, India",0,0,2020-05-30 15:32:49
16,"RT @V6News: Lockdown 5.0: Malls, Restaurants, Places Of Worship Can Open Starting June 8 | V6 News

#Coronavirus #IndiaLockdown #Lockdown5",??????,"Yellandu, India",0,4,2020-05-30 15:25:20
17,#indialockdown India has been in lockdown since 22nd March 2020. Now the Govt has announced a modified version 5.0… https://t.co/xEMgJWwdGj,Rakesh Mital,India,0,0,2020-05-30 15:06:38
18,"RT @9415Swami: Hello Mr. Steve Honckey Sir,
 before Modi's lockdown commented, 'Let us also talk about the Corona Index being developed in…",Alkesh Joshi,In Gujarat(India),0,4,2020-05-30 15:05:45
19,"Great, my bedtime remains unchanged. #indialockdown https://t.co/RERY8OF6xw",sheba thayil,Bangalore,2,0,2020-05-30 15:01:26
20,"What are the relaxation in Lockdown 5.0 !!! 

https://t.co/TSOVZbCSkP

#lockdown2020 #Lockdownextention… https://t.co/YcL5XFOli2",Surya Speak,,0,0,2020-05-30 14:59:42
21,"RT @V6News: Lockdown 5.0: Malls, Restaurants, Places Of Worship Can Open Starting June 8 | V6 News

#Coronavirus #IndiaLockdown #Lockdown5",Lakshmi Narayana Goud,"Proddatur, India",0,4,2020-05-30 14:38:44
22,"RT @priyanshyadav: Unrestricted movement of persons and goods

There shall be no restriction on inter-State and intra-State movement of per…",Arindam Panda,"Kanthi, India",0,1,2020-05-30 14:38:41
