Words,Emotion
abhorr,Angry
abhorr,Angry
abhorrence,Angry
abhorrent,Angry
abomin,Angry
abomin,Angry
abominably,Angry
abominate,Angry
abomination,Angry
admir,Happy
admir,Surprise
admirable,Happy
admirably,Happy
admiration,Happy
admiration,Surprise
admire,Happy
ador,Happy
adorably,Happy
adoration,Happy
adoring,Happy
affect,Happy
affection,Happy
affectional,Happy
affectionate,Happy
affectionateness,Happy
affective,Happy
affright,Fear
afraid,Fear
aggrav,Angry
aggravate,Angry
aggravated,Angry
aggravation,Angry
aggress,Angry
aggression,Angry
aggressive,Angry
aggressiveness,Angry
aggriev,Sad
aggrieve,Sad
alarm,Fear
alarmed,Fear
alert,Fear
amat,Happy
amative,Happy
amatori,Happy
amatory,Happy
amaz,Surprise
amaze,Surprise
amazed,Surprise
amazement,Surprise
amazing,Surprise
amazingly,Surprise
amic,Happy
amicability,Happy
amicable,Happy
amicableness,Happy
amicably,Happy
amok,Angry
amor,Happy
amorous,Happy
amorousness,Happy
amuck,Angry
anger,Angry
angered,Angry
angri,Angry
angrili,Angry
angrily,Angry
angry,Angry
animos,Angry
animosity,Angry
animus,Angry
annoy,Angry
annoyance,Angry
annoyed,Angry
annoying,Angry
antagon,Angry
antagonism,Angry
anticip,Happy
anticipate,Happy
anticipation,Happy
anxious,Fear
anxiously,Fear
appal,Fear
appall,Fear
appreci,Happy
appreciated,Happy
apprehens,Fear
apprehension,Fear
apprehensive,Fear
apprehensively,Fear
apprehensiveness,Fear
approb,Happy
approbative,Happy
approbatori,Happy
approbatory,Happy
approv,Happy
approval,Happy
approve,Happy
approved,Happy
approving,Happy
ardor,Happy
ardour,Happy
astoni,Surprise
astonied,Surprise
astonish,Surprise
astonished,Surprise
astonishing,Surprise
astonishingly,Surprise
astonishment,Surprise
astound,Surprise
astounded,Surprise
astounding,Surprise
atroci,Fear
atrocious,Fear
attach,Happy
attachment,Happy
attrit,Sad
attrition,Sad
avarici,Angry
avaricious,Angry
avid,Happy
avidity,Happy
avidness,Happy
aw,Fear
aw,Surprise
awe,Surprise
awed,Surprise
awestricken,Surprise
awestruck,Surprise
awful,Fear
awful,Surprise
awfully,Fear
bad,Sad
bad_blood,Angry
bad_temp,Angry
bad_temper,Angry
baffl,Angry
baffl,Surprise
baffle,Surprise
baffled,Angry
balk,Angry
balked,Angry
bang,Happy
banter,Happy
barrack,Happy
bash,Fear
bashfully,Fear
be_on_cloud_nin,Happy
be_on_cloud_nine,Happy
beam,Happy
beaming,Happy
beat,Surprise
becharm,Happy
bedevil,Angry
begrudg,Angry
begrudge,Angry
begrudging,Angry
beguil,Happy
beguile,Happy
beguiled,Happy
belliger,Angry
belligerence,Angry
belligerency,Angry
belligerent,Angry
belligerently,Angry
belong,Happy
belonging,Happy
benef,Happy
benefic,Happy
beneficed,Happy
beneficence,Happy
beneficent,Happy
benefici,Happy
beneficially,Happy
benevol,Happy
benevolence,Happy
benevolent,Happy
benevolently,Happy
bereav,Sad
bereaved,Sad
bereft,Sad
besot,Surprise
bewild,Surprise
bewilder,Surprise
bewitch,Happy
bewitching,Happy
bitter,Angry
bitterness,Angry
blith,Happy
blithely,Happy
blitheness,Happy
blue,Sad
blue_devil,Sad
blue_devils,Sad
bode,Fear
boding,Fear
bonheur,Happy
bore,Sad
bored,Sad
bother,Angry
bothersom,Angry
bothersome,Angry
brokenhearted,Sad
brokenheartedness,Sad
brood,Angry
brother,Happy
